Hours Studies,Attendance,Sleep Hours,Parental Education,Extra Activities,Previous Score,Result (Pass/Fail)
7.4,59,5.9,Postgraduate,No,37,Fail
6.3,55,6.2,Postgraduate,No,37,Fail
8.2,85,7.7,Undergraduate,No,72,Pass
4.8,58,9.3,Undergraduate,Yes,98,Pass
4.6,57,7.1,Postgraduate,Yes,88,Pass
0.5,72,5.8,Undergraduate,Yes,51,Fail
1.1,60,5.9,Undergraduate,Yes,94,Fail
2.2,76,7.7,Postgraduate,Yes,90,Pass
5.2,58,7.1,High School,Yes,79,Pass
9.4,73,7.9,Postgraduate,Yes,73,Pass
4.2,50,9.5,Undergraduate,No,38,Fail
7.0,90,4.5,High School,Yes,41,Pass
3.1,97,8.4,Diploma,Yes,87,Pass
2.8,87,5.2,Postgraduate,No,87,Pass
4.2,74,9.0,PhD,Yes,99,Pass
9.0,83,6.1,Undergraduate,Yes,67,Pass
9.3,52,9.2,Undergraduate,Yes,95,Pass
0.8,53,5.5,Postgraduate,No,35,Fail
7.3,50,7.4,Undergraduate,No,79,Pass
8.5,81,5.9,High School,No,44,Pass
2.6,90,6.2,Postgraduate,Yes,40,Fail
1.9,72,6.8,Undergraduate,No,80,Fail
6.1,67,5.3,Postgraduate,No,56,Fail
8.4,54,4.9,Undergraduate,No,92,Pass
4.2,75,4.6,Undergraduate,Yes,66,Fail
3.7,80,9.1,Undergraduate,No,46,Fail
6.1,53,6.0,Diploma,No,70,Pass
3.6,88,8.2,Diploma,Yes,99,Pass
7.9,59,7.3,Postgraduate,Yes,82,Pass
3.3,93,6.9,Diploma,No,87,Pass
9.0,51,9.0,Postgraduate,Yes,96,Pass
3.3,85,7.7,Undergraduate,Yes,59,Pass
9.1,93,5.1,Postgraduate,Yes,74,Pass
6.7,63,6.2,Postgraduate,Yes,93,Pass
1.5,80,8.4,Diploma,No,92,Pass
4.5,72,7.1,Undergraduate,No,56,Fail
9.7,89,8.0,High School,Yes,46,Pass
5.9,50,8.8,Undergraduate,No,54,Fail
3.4,58,5.4,Diploma,No,80,Fail
6.6,88,4.8,High School,Yes,98,Pass
1.6,99,6.8,PhD,Yes,36,Fail
4.4,60,6.3,Undergraduate,No,94,Pass
9.1,52,9.0,PhD,No,76,Pass
6.5,69,7.7,Undergraduate,No,44,Pass
9.8,99,7.3,Undergraduate,No,39,Pass
9.5,65,4.8,Diploma,No,88,Pass
5.9,64,5.5,Postgraduate,No,78,Pass
1.4,61,6.7,High School,Yes,47,Fail
4.1,64,9.1,Diploma,No,36,Fail
6.2,63,5.0,PhD,Yes,93,Pass
9.0,95,5.8,Undergraduate,No,53,Pass
5.7,89,8.7,Diploma,No,87,Pass
0.7,55,6.8,Undergraduate,No,70,Fail
4.3,81,9.4,High School,No,100,Pass
8.4,56,5.6,Postgraduate,No,93,Pass
7.0,69,7.8,Undergraduate,No,53,Pass
5.3,54,6.8,Undergraduate,No,59,Fail
3.2,73,9.2,Undergraduate,No,47,Fail
4.3,76,7.0,High School,Yes,84,Pass
2.2,56,7.1,Diploma,Yes,81,Fail
3.9,81,8.9,Postgraduate,Yes,72,Pass
3.5,71,4.7,Undergraduate,Yes,50,Fail
9.6,62,8.9,Postgraduate,No,44,Pass
5.2,93,6.3,Diploma,Yes,88,Pass
9.7,59,8.2,Undergraduate,Yes,62,Pass
7.1,79,5.0,Diploma,Yes,100,Pass
5.3,75,8.7,Postgraduate,No,62,Pass
4.9,60,6.1,Undergraduate,Yes,59,Fail
4.5,91,5.3,High School,Yes,60,Pass
0.9,96,6.7,Diploma,Yes,73,Pass
2.4,62,5.6,Postgraduate,Yes,61,Fail
7.1,66,7.9,Postgraduate,No,76,Pass
1.5,90,6.6,Postgraduate,No,39,Fail
7.7,99,7.5,Diploma,Yes,47,Pass
4.4,61,4.6,Diploma,No,67,Fail
7.0,51,8.2,PhD,Yes,89,Pass
5.1,74,5.6,Undergraduate,Yes,47,Fail
2.3,99,4.8,Postgraduate,Yes,50,Fail
3.1,88,7.8,High School,Yes,59,Fail
9.3,86,7.6,Diploma,No,79,Pass
9.8,61,8.5,Undergraduate,No,52,Pass
9.2,89,9.3,High School,No,79,Pass
4.3,64,5.2,Diploma,No,87,Fail
8.2,82,6.3,High School,No,74,Pass
2.6,77,9.4,High School,No,38,Fail
6.9,93,8.6,Postgraduate,Yes,78,Pass
7.9,54,7.2,Diploma,No,93,Pass
9.1,80,6.0,Diploma,Yes,87,Pass
9.5,79,7.9,High School,No,100,Pass
5.1,87,5.4,Diploma,Yes,82,Pass
4.1,76,7.9,High School,Yes,53,Fail
4.6,86,8.5,Postgraduate,No,82,Pass
8.9,91,7.9,Undergraduate,Yes,50,Pass
0.8,52,6.9,High School,No,71,Fail
8.6,66,8.4,Postgraduate,Yes,84,Pass
0.8,86,6.7,Undergraduate,Yes,50,Fail
1.3,66,5.6,High School,No,42,Fail
5.2,69,9.1,PhD,Yes,93,Pass
2.5,94,7.0,Postgraduate,Yes,99,Pass
4.7,91,7.3,Postgraduate,Yes,50,Pass
4.2,84,8.5,Postgraduate,No,40,Fail
6.1,86,7.9,Undergraduate,Yes,65,Pass
5.3,69,9.4,Postgraduate,Yes,37,Fail
3.4,72,4.6,Undergraduate,Yes,46,Fail
4.4,51,6.4,Undergraduate,Yes,42,Fail
9.7,60,8.1,Diploma,Yes,65,Pass
9.7,90,4.9,Undergraduate,Yes,35,Pass
5.9,92,6.8,High School,No,87,Pass
2.6,78,5.2,Undergraduate,No,71,Fail
4.2,73,6.5,Undergraduate,Yes,78,Pass
6.6,89,9.3,Postgraduate,No,72,Pass
4.2,52,4.6,Diploma,No,86,Fail
4.1,71,5.5,Undergraduate,Yes,60,Fail
7.1,81,6.2,Diploma,Yes,62,Pass
9.9,77,9.3,PhD,Yes,45,Pass
7.7,54,6.5,Diploma,No,45,Fail
6.9,88,6.4,Diploma,Yes,58,Pass
4.0,50,6.2,Undergraduate,Yes,41,Fail
1.0,59,4.6,Undergraduate,Yes,100,Fail
2.5,77,4.8,High School,Yes,59,Fail
9.9,73,8.1,Postgraduate,Yes,89,Pass
4.2,87,4.5,Undergraduate,Yes,43,Fail
5.3,98,6.0,Undergraduate,No,75,Pass
5.2,65,6.2,High School,Yes,99,Pass
7.3,82,6.3,Undergraduate,Yes,63,Pass
2.3,77,8.6,Undergraduate,No,65,Fail
8.9,63,6.6,Postgraduate,No,81,Pass
8.4,66,6.3,Undergraduate,Yes,66,Pass
7.7,55,6.1,PhD,Yes,52,Pass
3.5,66,7.3,Undergraduate,Yes,42,Fail
8.1,50,7.8,Undergraduate,Yes,36,Fail
2.6,95,5.5,Postgraduate,Yes,60,Pass
8.7,92,4.8,Undergraduate,Yes,97,Pass
5.0,56,6.0,Undergraduate,No,58,Fail
2.9,58,9.0,Postgraduate,No,44,Fail
2.7,73,5.5,High School,Yes,62,Fail
6.7,54,9.1,Undergraduate,No,99,Pass
8.1,73,5.5,Undergraduate,Yes,61,Pass
3.6,91,6.2,Undergraduate,Yes,57,Pass
7.3,96,5.2,Diploma,No,68,Pass
3.5,83,6.4,High School,Yes,81,Pass
8.6,84,6.7,Diploma,Yes,42,Pass
9.7,87,7.0,Undergraduate,No,63,Pass
4.6,51,7.7,Postgraduate,No,64,Fail
5.1,62,8.8,Undergraduate,Yes,40,Fail
1.9,94,6.4,Undergraduate,No,44,Fail
5.9,87,4.7,Undergraduate,No,48,Pass
5.3,84,6.3,Undergraduate,No,41,Pass
2.4,98,8.9,Diploma,No,90,Pass
8.1,95,9.3,PhD,No,59,Pass
1.9,67,5.3,Diploma,Yes,85,Fail
1.1,83,7.0,Undergraduate,Yes,97,Pass
3.0,97,4.9,PhD,No,81,Pass
3.4,75,9.0,Undergraduate,Yes,86,Pass
3.4,56,6.2,Diploma,Yes,36,Fail
